"word","new_label"
"Asie","Asia"
"Asie du Sud-Est","South-eastern Asia"
"Asien","Asia"
"Asiens","Asia"
"Asl","Italy"
"Aspi","Italy"
"Assad","Syria"
"Assemblée des communautés de France","France"
"Assemblée des départements de France","France"
"Assemblée nationale","France"
"Association des départements de France","France"
"Association des maires de France","France"
"Association des maires ruraux de France","France"
"Association des petites villes de France","France"
"Association des régions de France","France"
"Assolombarda","Italy"
"Assonime","Italy"
"Astaldi","Italy"
"AstraZeneca","UK"
"Asturias","Spain"
"Atenas","Greece"
"Atene","Greece"
"Athen","Greece"
"Athener","Germany"
"Athens","Greece"
"Athènes","Greece"
"Atlanta","USA"
"Atlantia","Italy"
"Atm","Italy"
"Atos","France"
"Atos Origin","France"
"Atout France","France"
"Atrium","Austria"
"Auchan","France"
"Auchan Retail France","France"
"Audi","Germany"
"Audiencia Nacional","Spain"
"Augsburg","Germany"
"Auna","Spain"
"Australia","Australia"
"Australian","Australia"
"Australie","Australia"
"Australien","Australia"
"Australier","Australia"
"Austria","Austria"
"Austria's Leading Companies","Austria"
"Austrian","Austria"
"Austrian Airlines","Austria"
"Auswaertige Amt","Germany"
"Autorité des marchés financiers","France"
"Autoroutes de France","France"
"Autostrade","Italy"
"Autriche","Austria"
"AvW","Austria"
"Aventis","France"
"Avignon","France"
"Avio","Italy"
"Aviva France","France"
"Avánzit","Spain"
"Axa","France"
"Axel Springer","Germany"
"Axel Weber","Germany"
"Ayuntamiento de Madrid","Spain"
"B B Italia","Italy"
"BA","Germany"
"BA","UK"
"BA-CA","Austria"
"BAE","UK"
"BAE Systems","UK"
"BAG","Germany"
"BASF","Germany"
"BBAG","Austria"
"BBC","UK"
"BBC2","UK"
"BBK","Spain"
"BBVA","Spain"
"BCE","EU"
"BCG","USA"
"BCR","Romania"
"BDA","Germany"
"BDI","Germany"
"BDO France","France"
"BEI","EU"
"BFH","Germany"
"BFI","France"
"BG","UK"
"BGH","Germany"
"BHF-Bank","Germany"
"BHP","Australia"
"BHP Billiton","Australia"
"BIG","Austria"
"BIZ","World"
"BME","Spain"
"BMF","Germany"
"BMN","Spain"
"BMW","Germany"
"BNL","Italy"
"BNP","France"
"BNP Paribas","France"
"BP","UK"
"BPCE","France"
"BPI","France"
"BT","UK"
"BTp","Italy"
"BVR","Germany"
"BWB","Austria"
"BWT","Austria"
"BZÖ","Austria"
"BaFin","Germany"
"Badajoz","Spain"
"Badalona","Spain"
"Baden-Wuerttemberg","Germany"
"Bafin","Germany"
"Bagdad","Iraq"
"Baghdad","Iraq"
"Bahrain","Bahrain"
"Bain","USA"
"Balcani","Eastern Europe"
"Baleares","Spain"
"Bali","Indonesia"
"Balkan","Eastern Europe"
"Balkans","Eastern Europe"
"Baltic","Eastern Europe"
"Banca Cívica","Spain"
"Banca Imi","Italy"
"Banca Intesa","Italy"
"Banca Popolare Italiana","Italy"
"Banca centrale","Italy"
"Banca centrale europea","EU"
"Banca d'Italia","Italy"
"Banca d’Italia","Italy"
"Banca mondiale","World"
"Bancaja","Spain"
"Banco Central Europeo","EU"
"Banco Europeo de Inversiones","EU"
"Banco Madrid","Spain"
"Banco Mundial","Spain"
"Banco Pastor","Spain"
"Banco Popolare","Italy"
"Banco Popular","Spain"
"Banco Sabadell","Spain"
"Banco Santander","Spain"
"Banco de España","Spain"
"Banco de Inglaterra","UK"
"Banco de Japón","Japan"
"Banco de Valencia","Spain"
"Banesto","Spain"
"Bangkok","Thailand"
"Bangladesch","Bangladesh"
"Bangladesh","Bangladesh"
"Bank Austria","Austria"
"Bank Burgenland","Austria"
"Bank of America","USA"
"Bank of America Merrill Lynch","USA"
"Bank of England","UK"
"Bank of Japan","Japan"
"Bankia","Spain"
"Bankinter","Spain"
"Bankitalia","Italy"
"Banque Postale","France"
"Banque centrale européenne","EU"
"Banque d'Angleterre","UK"
"Banque de France","France"
"Banque du Japon","Japan"
"Banque mondiale","USA"
"Banques Populaires","France"
"Barack Obama","USA"
"Barajas","Spain"
"Barcellona","Spain"
"Barcelona","Spain"
"Barcelone","Spain"
"Barceló","Spain"
"Barclays","UK"
"Barclays Capital","UK"
"Bari","Italy"
"Barilla","Italy"
"Barroso","Portugal"
"Barroso","EU"
"Bartenstein","Austria"
"Basel","Switzerland"
"Basilea","Switzerland"
"Basilicata","Italy"
"Baugur","Iceland"
"Baumax","Austria"
"Bawag","Austria"
"Baxter","USA"
"Bayer","Germany"
"Bayern","Germany"
"BayernLB","Germany"
"Bayerns","Germany"
"Bbc","UK"
"Bce","EU"
"BdB","Germany"
"Bear Stearns","USA"
"Beck","Germany"
"Becker","Germany"
"Beethoven","Germany"
"Bei","EU"
"Beiersdorf","Germany"
"Beijing","China"
"Beirut","Lebanon"
"Beko","Austria"
"Belarus","Belarus"
"Belfast","UK"
"Belgian","Belgium"
"Belgien","Belgium"
"Belgier","Belgium"
"Belgio","Belgium"
"Belgique","Belgium"
"Belgium","Belgium"
"Belgrad","Serbia"
"Ben Bernanke","USA"
"Bene","Austria"
"Benelux","Western Europe"
"Benetton","Italy"
"Beni","Italy"
"Benoît Hamon","France"
"Beppe Grillo","Italy"
"Bercy","France"
"Berenberg Bank","Germany"
"Bergamo","Italy"
"Bergisch Gladbach","Germany"
"Berlin","Germany"
"Berlino","Germany"
"Berlins","Germany"
"Berlusconi","Italy"
"Berlín","Germany"
"Bermuda","UK"
"Bernanke","USA"
"Bernard Arnault","France"
"Bernard Thibault","France"
"Bernhard Felderer","Austria"
"Bernstein","USA"
"Bersani","Italy"
"Bertelsmann","Germany"
"Bertrand Delanoë","France"
"Bestinver","Spain"
"Betandwin","Austria"
"Bewag","Austria"
"Biagi","Italy"
"Bibliothèque nationale de France","France"
"Biden","USA"
"Bielefeld","Germany"
"Biella","Italy"
"Bielorussia","Belarus"
"Bilbao","Spain"
"Bilfinger","Germany"
"Bill Clinton","USA"
"Bill Gates","USA"
"Billa","Austria"
"Binder","Austria"
"Biontech","Germany"
"Bipa","Austria"
"Birmingham","UK"
"Bitkom","Germany"
"BlackBerry","Canada"
"BlackRock","USA"
"Blackrock","USA"
"Blackstone","USA"
"Blair","UK"
"Blessing","Germany"
"Bloomberg","USA"
"Bludenz","Austria"
"Bmw","Germany"
"Bnl","Italy"
"Bnp Paribas","France"
"BoE","UK"
"BoJ","Japan"
"BoT","Italy"
"Bocconi","Italy"
"Bochum","Germany"
"Bochumer","Germany"
"Boeing","USA"
"BofA","USA"
"Bolivia","Bolivia"
"Bolloré","France"
"Bologna","Italy"
"Bolonia","Italy"
"Bolsa de Londres","UK"
"Bolsa de Madrid","Spain"
"Bolsa de Nueva York","USA"
"Bolsa española","Spain"
"Bolzano","Italy"
"Bombardier","Canada"
"Bondi","Italy"
"Bonn","Germany"
"Bonner","Germany"
"Bonos","Spain"
"Bordeaux","France"
"Boris Johnson","UK"
"Boris Nemsic","Austria"
"Borsa Italiana","Italy"
"Borussia Dortmund","Germany"
"Bosch","Germany"
"Bosnien","Bosnia and Herzegovina"
"Bosnien-Herzegowina","Bosnia and Herzegovina"
"Bossi","Italy"
"Boston","USA"
"Boston Consulting Group","USA"
"Bottrop","Germany"
"Bouches-du-Rhône","France"
"Bourgogne","France"
"Bourse allemande","Germany"
"Bourse britannique","UK"
"Bourse de Francfort","Germany"
"Bourse de Londres","UK"
"Bourse de New York","USA"
"Bourse de Paris","France"
"Bouygues","France"
"Bouygues Telecom","France"
"Bp","UK"
"Bper","Italy"
"Bpi","Italy"
"Bpm","Italy"
"Brain Force","Switzerland"
"Brandenburg","Germany"
"Brasil","Brazil"
"Brasile","Brazil"
"Brasilianer","Brazil"
"Brasilien","Brazil"
"Brasiliens","Brazil"
"Brasseurs de France","France"
"Bratislava","Slovakia"
"Brau Union","Austria"
"Braunschweig","Germany"
"Brazil","Brazil"
"Brazilian","Brazil"
"Bregenz","Austria"
"Brema","Germany"
"Brembo","Italy"
"Bremen","Germany"
"Bremer","Germany"
"Bremerhaven","Germany"
"Brenner","Austria"
"Brescia","Italy"
"Brest","France"
"Bretagne","France"
"Breuer","Germany"
"Brexit","EU"
"Brigitte Jank","Austria"
"Brigitte Zypries","Germany"
"Brindisi","Italy"
"Bristol","UK"
"Britain","UK"
"Britannique","UK"
"Britanniques","UK"
"Brite","UK"
"Briten","UK"
"British","UK"
"British Airways","UK"
"British Energy","UK"
"British Gas","UK"
"British Land","UK"
"Britons","UK"
"Brits","UK"
"Britvic","UK"
"Broadway","USA"
"Brooklyn","USA"
"Brotherhood","Egypt"
"Bruederle","Germany"
"Bruessel","EU"
"Bruesseler","EU"
"Bruesseler Behoerde","EU"
"Brufau","Spain"
"Bruno Le Maire","France"
"Bruselas","EU"
"Brussels","EU"
"Bruxelles","EU"
"Brésil","Brazil"
"Brünn","Czechia"
"Brüssel","EU"
"Brüsseler","EU"
"Btp","Italy"
"Bucarest","Romania"
"Budapest","Hungary"
"Buenos Aires","Argentina"
"Buffett","USA"
"Bukarest","Romania"
"Bulgaria","Bulgaria"
"Bulgarie","Bulgaria"
"Bulgarien","Bulgaria"
"Bulgariens","Bulgaria"
"Bull","France"
"Bund allemand","Germany"
"Bundesagentur fuer Arbeit","Germany"
"Bundesanleihen","Germany"
"Bundesanstalt fuer Finanzdienstleistungsaufsicht","Germany"
"Bundesbank","Germany"
"Bundesfinanzhof","Germany"
"Bundesfinanzministerium","Germany"
"Bundesgerichtshof","Germany"
"Bundesinnenminister","Germany"
"Bundeskabinett","Germany"
"Bundeskartellamt","Germany"
"Bundesliga","Germany"
"Bundesrepublik","Germany"
"Bundestag","Germany"
"Bundestages","Germany"
"Bundestags","Germany"
"Bundesverband der Deutschen Industrie","Germany"
"Bundesverfassungsgericht","Germany"
"Bundesverfassungsgerichts","Germany"
"Bundeswehr","Germany"
"Bundeswirtschaftsminister","Germany"
"Bundeswirtschaftsministerium","Germany"
"Burberry","UK"
"Bureau de Bruxelles","EU"
"Bureau de New York","USA"
"Burgenland","Austria"
"Burgenländer","Austria"
"Burgos","Spain"
"Burgtheater","Austria"
"Burma","Myanmar"
"Bush","USA"
"Bushs","USA"
"Business France","France"
"Buwog","Austria"
"Bwin","Austria"
"Bélgica","Belgium"
"Böhler","Austria"
"Böhler-Uddeholm","Austria"
"Börse Wien","USA"
"CA Immo","Austria"
"CAC","France"
"CAC40","France"
"CAF","Spain"
"CAM","Spain"
"CBI","UK"
"CBS","USA"
"CC OO","Spain"
"CCI","France"
"CCI France","France"
"CCM","Spain"
"CDC","France"
"CDTI","Spain"
"CDU","Germany"
"CDU-Politiker","Germany"
"CDU/CSU","Germany"
"CE","France"
"CEA","France"
"CECA","Spain"
"CEOE","Spain"
"CEZ","Czechia"
"CFDT","France"
"CFE-CGC","France"
"CFTC","USA"
"CGC","France"
"CGPME","France"
"CGT","France"
"CHS France","France"
"CIA","USA"
"CIE Automotive","Spain"
"CMA","UK"
"CME","USA"
"CMI France","France"
"CMT","Spain"
"CNAM","France"
"CNE","Spain"
"CNES","France"
"CNIL","France"
"CNMC","Spain"
"CNMV","Spain"
"CNN","USA"
"CNP Assurances","France"
"CNRS","France"
"CRE","France"
"CSA","France"
"CSG","France"
"CSU","Germany"
"Cac","France"
"Cadbury","UK"
"Caen","France"
"Cagliari","Italy"
"Cairo","Egypt"
"Caisse d'Epargne Ile-de-France","France"
"Caisse des Dépôts","France"
"Caisse des Dépôts et Consignations","France"
"Caisses d'Epargne","France"
"Caixa Catalunya","Spain"
"Caixa Galicia","Spain"
"CaixaBank","Spain"
"Caixanova","Spain"
"Caja España","Spain"
"Caja Madrid","Spain"
"Caja Navarra","Spain"
"Cajamar","Spain"
"Cajasur","Spain"
"Calabria","Italy"
"Calderoli","Italy"
"Calenda","Italy"
"California","USA"
"Californian","USA"
"Californie","USA"
"Caltagirone","Italy"
"Caltanissetta","Italy"
"Calviño","Spain"
"Cambridge","UK"
"Camera dei deputati","Italy"
"Cameron","UK"
"Campania","Italy"
"Campidoglio","Italy"
"Campofrío","Spain"
"Canada","Canada"
"Canadian","Canada"
"Canadá","Canada"
"Canal+","France"
"Canal+ France","France"
"Canal+France","France"
"Canarias","Spain"
"Canary Wharf","UK"
"Cannes","France"
"Cantabria","Spain"
"Capgemini","France"
"Capital Economics","UK"
"Capitalia","Italy"
"Capitol Hill","USA"
"Capo dello Stato","Italy"
"Carabanchel","Spain"
"Carabinieri","Italy"
"Caribbean","Caribbean"
"Caribe","Caribbean"
"Carige","Italy"
"Carlo Azeglio Ciampi","Italy"
"Carlo Calenda","Italy"
"Carlos Ghosn","France"
"Carlos Slim","Mexico"
"Carlos Tavares","Portugal"
"Carlyle","UK"
"Carlyle","USA"
"Carney","Canada"
"Carrefour","France"
"Carrefour France","France"
"Carsten Spohr","Germany"
"Cartagena","Spain"
"Cartier","France"
"Casa Bianca","USA"
"Casa Blanca","USA"
"Casa delle libertà","Italy"
"Caser","Spain"
"Caserta","Italy"
"Casini","Italy"
"Casinos Austria","Austria"
"Cassazione","Italy"
"Castelli","Italy"
"Castellón","Spain"
"Castilla y León","Spain"
"Castilla-La Mancha","Spain"
"Catalan","Spain"
"Catalogne","Spain"
"Catalonia","Spain"
"Catalunya Banc","Spain"
"Catalunya Caixa","Spain"
"Cataluña","Spain"
"Catania","Italy"
"Catanzaro","Italy"
"Cda","Italy"
"Cdl","Italy"
"Cdp","Italy"
"Cdu","Germany"
"Cebit","Germany"
"Cee","EU"
"Cellnex","Spain"
"Centre France","France"
"Centrica","UK"
"Cepsa","Spain"
"Cepyme","Spain"
"Cerberus","USA"
"Cesare Damiano","Italy"
"Ceuta","Spain"
"Cgil","Italy"
"Chamartín","Spain"
"Chamberí","Spain"
"Channel 4","UK"
"Charbonnages de France","France"
"Charlottenburg","Germany"
"Chavez","Venezuela"
"Chelsea","UK"
"Chemnitz","Germany"
"Chen","China"
"Chevron","USA"
"Chicago","USA"
"Chile","Chile"
"Chilean","Chile"
"Chili","Chile"
"China","China"
"Chinas","China"
"Chine","China"
"Chinese","China"
"Chinesen","China"
"Chinois","China"
"Chipre","Cyprus"
"Chirac","France"
"Choose France","France"
"Christian Kern","Austria"
"Christian Lindner","Germany"
"Christian Wulff","Germany"
"Christie s","UK"
"Christie'","UK"
"Christie's","UK"
"Christine Lagarde","World"
"Christine Lagarde","EU"
"Christine Lagarde","France"
"Christoph Leitl","Austria"
"Christoph Matznetter","Austria"
"Chrysler","USA"
"Chypre","Cyprus"
"CiU","Spain"
"Ciampi","Italy"
"Cile","Chile"
"Cina","China"
"Cinco Días","Spain"
"CincoDías","Spain"
"Cinque Stelle","Italy"
"Cintra","Spain"
"Cipe","Italy"
"Cipro","Cyprus"
"Cir","Italy"
"Cirio","Italy"
"Cisco","USA"
"Cisgiordania","Israel"
"Cisl","Italy"
"Citi","USA"
"Citibank","USA"
"Citigroup","USA"
"Citroën","France"
"Ciudad Lineal","Spain"
"Ciudad Real","Spain"
"Ciudadanos","Spain"
"Ciutat Vella","Spain"
"Claudio Scajola","Italy"
"Claus Raidl","Austria"
"Clegg","UK"
"Clement","Germany"
"Clermont-Ferrand","France"
"Clinton","USA"
"Club Med","France"
"Cnel","Italy"
"Cnr","Italy"
"Coca-Cola","USA"
"Codere","Spain"
"Coface","France"
"Coke","USA"
"Coldiretti","Italy"
"Colle","Italy"
"Collecchio","Italy"
"Collège de France","France"
"Colombia","Colombia"
"Colombie","Colombia"
"Colombie-Britannique","UK"
"Colonia","Germany"
"Colorado","USA"
"Comcast","USA"
"Comdirect","Germany"
"Comisiones Obreras","Spain"
"Comisión Europea","EU"
"Comisión Nacional de la Energía","Spain"
"Comisión Nacional de los Mercados","Spain"
"Comisión Nacional del Mercado de Valores","Spain"
"Comisión del Mercado de las Telecomunicaciones","Spain"
"Commerzbank","Germany"
"Commission du film d'Ile-de-France","France"
"Commission européenne","EU"
"Commissione Europea","EU"
"Commissione Ue","EU"
"Commissione europea","EU"
"Como","Italy"
"Comune di Milano","Italy"
"Comuni","Italy"
"Comunidad Valenciana","Spain"
"Comunidad de Madrid","Spain"
"Condor","Germany"
"Conergy","Germany"
"Confartigianato","Italy"
"Confcommercio","Italy"
"Confindustria","Italy"
"Congo","Congo"
"Congreso de los Diputados","Spain"
"Connecticut","USA"
"Conseil d'Etat","France"
"Conseil européen","EU"
"Conseil régional d'Ile-de-France","France"
"Consejo","Spain"
"Consejo Europeo","EU"
"Consejo de Estado","Spain"
"Consiglio","Italy"
"Consiglio Ue","EU"
"Consiglio di Stato","Italy"
"Consiglio europeo","EU"
"Consiglio superiore","Italy"
"Consip","Italy"
"Consob","Italy"
"Constanta","Romania"
"Constantia Packaging","Austria"
"Constantia Privatbank","Austria"
"Constitution européenne","EU"
"Conte","Italy"
"Conti","Germany"
"Continental","Germany"
"Conwert","Austria"
"Coop de France","France"
"Copenaghen","Denmark"
"Copenhagen","Denmark"
"Copenhague","Denmark"
"Corbyn","UK"
"Cordes","Germany"
"Corea","South Korea"
"Corea del Nord","North Korea"
"Corea del Sud","South Korea"
"Corea del Sur","South Korea"
"Cornwall","UK"
"Corrado Passera","Italy"
"Correos","Spain"
"Corriere della Sera","Italy"
"Corse","France"
"Corte Ue","EU"
"Corte costituzionale","Italy"
"Corte dei Conti","Italy"
"Corte dei conti","Italy"
"Corte di Cassazione","Italy"
"Corte di cassazione","Italy"
"Corte di giustizia","EU"
"Corte di giustizia Ue","EU"
"Cortefiel","Spain"
"Corus","Netherlands"
"Corée","South Korea"
"Corée du Nord","North Korea"
"Corée du Sud","South Korea"
"Costa Rica","Costa Rica"
"Costituzione","Italy"
"Cour constitutionnelle allemande","Germany"
"Cour de cassation","France"
"Cour des comptes","France"
"Covent Garden","UK"
"Covestro","Germany"
"Covid-19","World"
"Covip","Italy"
"Cracovia","Poland"
"Craiova","Romania"
"Credit Suisse","Switzerland"
"Cremlino","Russia"
"Cremona","Italy"
"Crimea","Ukraine"
"Cristo","Italy"
"Cristóbal Montoro","Spain"
"Criteria","Spain"
"Croacia","Croatia"
"Croatia","Croatia"
"Croatie","Croatia"
"Croazia","Croatia"
"Cromme","Germany"
"Cryan","Germany"
"Crédit Agricole","France"
"Crédit Agricole Ile-de-France","France"
"Crédit Agricole Nord de France","France"
"Crédit Agricole SA","France"
"Crédit Agricole d'Ile-de-France","France"
"Crédit Foncier de France","France"
"Crédit Immobilier de France","France"
"Crédit Lyonnais","France"
"Crédit Mutuel","France"
"Csm","Italy"
"Ctr","Italy"
"Cuba","Cuba"
"Cuban","Cuba"
"Cuneo","Italy"
"Cyprus","Cyprus"
"Czech","Czechia"
"Cádiz","Spain"
"Cámara de Comercio","Spain"
"César Alierta","Spain"
"Córdoba","Spain"
"Côte d'Azur","France"
"Côte d'Ivoire","Ivory Coast"
"D'Alema","Italy"
"DAX","Germany"
"DDR","Germany"
"DES France","France"
"DFB","Germany"
"DFL","Germany"
"DGB","Germany"
"DGCCRF","France"
"DHL","Germany"
"DHL Express France","France"
"DIHK","Germany"
"DIW","Germany"
"DKB","Germany"
"DRH","France"
"DSGV","Germany"
"DSK","France"
"DSW","Germany"
"DWS","Germany"
"DZ Bank","Germany"
"Daenemark","Denmark"
"Daimler","Germany"
"Daimler-Chrysler","Germany"
"DaimlerChrysler","Germany"
"Dalkia France","France"
"Damasco","Syria"
"Damascus","Syria"
"Damaskus","Syria"
"Danemark","Denmark"
"Danimarca","Denmark"
"Danish","Denmark"
"Danone","France"
"Dante","Italy"
"Danzica","Poland"
"Darfur","Sudan"
"Dario Franceschini","Italy"
"Darmstadt","Germany"
"Darty","France"
"Dassault","France"
"Dassault Systèmes","France"
"David Cameron","UK"
"Dax","Germany"
"Dax allemand","Germany"
"Dc","Italy"
"De Beers","UK"
"Dealogic","UK"
"Debenhams","UK"
"Def","Italy"
"Degussa","Germany"
"Deka","Germany"
"Dekabank","Germany"
"Delhi","India"
"Delicias","Spain"
"Dell","USA"
"Deloitte","UK"
"Deloitte France","France"
"Delphi","Ireland"
"Democrats","USA"
"Demokraten","USA"
"Dems","UK"
"Den Haag","Netherlands"
"Denmark","Denmark"
"Deoleo","Spain"
"Deripaska","Russia"
"Detroit","USA"
"Deutsche","Germany"
"Deutsche Bahn","Germany"
"Deutsche Bank","Germany"
"Deutsche Boerse","Germany"
"Deutsche Borse","Germany"
"Deutsche Börse","Germany"
"Deutsche Post","Germany"
"Deutsche Telekom","Germany"
"Deutschen Bahn","Germany"
"Deutschen Bank","Germany"
"Deutschen Boerse","Germany"
"Deutschen Instituts fuer Wirtschaftsforschung","Germany"
"Deutschen Post","Germany"
"Deutschen Schutzvereinigung fuer Wertpapierbesitz","Germany"
"Deutschen Telekom","Germany"
"Deutscher Bank","Germany"
"Deutschland","Germany"
"Deutschlands","Germany"
"Dexia","Belgium"
"Di Maio","Italy"
"Di Pietro","Italy"
"Diageo","UK"
"Diekmann","Germany"
"Diess","Germany"
"Dieter Zetsche","Germany"
"Dijon","France"
"Dinamarca","Denmark"
"Dini","Italy"
"Disney","USA"
"Dobrindt","Germany"
"Dogudan","Austria"
"Doha","Qatar"
"Domenico Siniscalco","Italy"
"Dominique Strauss-Kahn","France"
"Dominique de Villepin","France"
"Donald Trump","USA"
"Dornbirn","Austria"
"Dorotheum","Austria"
"Dortmund","Germany"
"Dos Hermanas","Spain"
"Dow","USA"
"Dow Jones","USA"
"Downing Street","UK"
"Dpef","Italy"
"Dragados","Spain"
"Draghi","EU"
"Draghi","Italy"
"Dresda","Germany"
"Dresde","Germany"
